feature,selection_frequency,importance
Ca,1.0,0.21197108986681826
As,1.0,0.12009720691142593
Ba,1.0,0.07024348795179383
V,1.0,0.06893521350767857
Sr,1.0,0.06585969931500077
Cr,1.0,0.048303430654496396
Mo,1.0,0.044327457350043724
Ta,1.0,0.0440325306647224
Cu,1.0,0.03460097759709336
K,1.0,0.03293087777295254
Ti,1.0,0.029027421494812126
Se,1.0,0.02118165812083807
S,1.0,0.017763459097929975
Cl,1.0,0.01729457587640236
Zr,1.0,0.01605457078478055
Zn,1.0,0.01594330626764063
Sb,1.0,0.01283440911808289
Fe,1.0,0.011176317140122648
Rb,1.0,0.010268628776848667
P,1.0,0.009989920825940059
Sn,1.0,0.00879769255419769
Al,1.0,0.008122267350965884
Si,0.9,0.007748313376984887
Ni,1.0,0.007153736629991974
W,1.0,0.00545531764279952
Co,0.6,0.0051536193296484855
Ag,0.8,0.005122033662665052
Mn,0.8,0.0050937503355268565
Tl,0.6,0.00370007080525646
Au,0.7,0.003539678466386402
Ga,0.3,0.003431449633103106
Sc,0.7,0.0034062333780195382
Ru,0.3,0.003197075111217053
Th,0.5,0.003185821752451397
Pd,0.7,0.0028136732856418605
Hg,0.3,0.002813123534117106
Cd,0.5,0.0028065457591108824
Te,0.8,0.002708436702073221
Br,0.0,0.002665078360907666
Nb,0.6,0.002560945205386651
In,0.6,0.0023867847980019023
Y,0.5,0.002336469914119222
Ge,0.4,0.002264789069057139
Pb,0.0,0.0007008542469464042
